,id,tweet,label
1,2,Alfalfa cure COVID-19.,fake
2,3,President Trump Asked What He Would Do If He Were To Catch The Coronavirus https://t.co/3MEWhusRZI #donaldtrump #coronavirus,fake
10,11,Two interesting correlations: 1) Children tend weather COVID-19 pretty well; ton Vitamin D. 2) Black getting slammed COVID-19; black higher instances Vitamin D deficiency (76% vs 40% general population).,fake
11,12,A photo shows 19-year-old canine used prevent new causing COVID-19.,fake
13,14,An audio file alleged worker institution Rio Janeiro. She says workers public institutions Rio forced state patient COVID-19 sees doctor. This allegedly artificially inflate number cases.,fake
14,15,"Says Coronavirus Aid, Relief, Economic Security Act gives members Congress pay increase.",fake
15,16,Kids reach ‘f**k shit’ stage https://t.co/swClEhi2Iq,fake
16,17,"Households ""required"" medical kits certain items equipment treat different stages COVID-19.",fake
17,18,An image man carrying old mother shows migrants travelling homes India amidst lockdown.,fake
20,21,"Korona virus, new deadly form virus, china suffering, come India immediately, avoid form cold drinks, ice creams, koolfee, etc, type preserved foods, milkshake, rough ice, ice colas, milk sweets older 48 hours, atleast 90 today.",fake
21,22,A 2009 tweet Donald Trump said let thousands Americans die office.,fake
23,24,"President Donald Trump tweeted, ""Coronavirus Israel! Stock market up! Economy stronger now! Besides US, Israel best inventions: Judaism, olives. Wonderful vaccine, stop DEAD world. Can't make vaccines bombed, possible peace I created Israel!""",fake
26,27,Brazil's minister says confirmation COVID-19 won't considered death toll.,fake
27,28,Govt added #Corona disease existing mediclaim insurances special case #COVID2019India https://t.co/39vpW7tBqq,fake
29,30,"The Gates Foundation ""has patent coronavirus.""",fake
30,31,Nashville Man Thinks World Is Upside-Down Respects World Doesn't Care What He Thinks https://t.co/xAw4YLwLsl #coronavirus,fake
31,32,"14 China Muslims hidden Bihari mosque taken corona Bihari police. Erode police caught Thailand Muslim mullahs corona virus. Today Salem Police caught 11 Indonesian Muslim mullahs Salem mosque. This video shows applying putting saliva spoons, plates utensils intention spreading corona disease. Nobody knows what's happening Nation",fake
33,34,Coronavirus gutkha chewing tobacco samples sold Indian state Maharashtra raw material sourced China.,fake
38,39,The new does settle air grounded transmitted air.,fake
