text,source,claim_num,group,labeled_text
usa today published a front page article about the development of a covid 19 vaccine the same day kobe bryant's death was reported,snopes,782,0,__label__0 usa today published a front page article about the development of a covid 19 vaccine the same day kobe bryant's death was reported
dr anthony fauci has known for 15 years that chloroquine and  hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases,politifact,12,1,__label__1 dr anthony fauci has known for 15 years that chloroquine and  hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases
blm fresno riots will begin at 4 p.m. in river park on 06/02/20,politifact,1213,3,__label__3 blm fresno riots will begin at 4 p.m. in river park on 06/02/20
now theyre doing tests on airlines  very strong tests  for getting on getting off theyre doing tests on trains  getting on getting off,politifact,171,1,__label__1 now theyre doing tests on airlines  very strong tests  for getting on getting off theyre doing tests on trains  getting on getting off
says michigan covid 19 order bans gardening and the sale of vegetable seeds and fruit,politifact,598,1,__label__1 says michigan covid 19 order bans gardening and the sale of vegetable seeds and fruit
democrats introduce bill to euthanize seniors to save social security.,politifact,1240,3,__label__3 democrats introduce bill to euthanize seniors to save social security.
this virus has a cure it is called hydroxychloroquine zinc and zithromax i know you people want to talk about a mask hello? you dont need (a) mask there is a cure,politifact,260,1,__label__1 this virus has a cure it is called hydroxychloroquine zinc and zithromax i know you people want to talk about a mask hello? you dont need (a) mask there is a cure
"homicides are intraracial. when you look at white-on-white crime, it's 84%. right? homicides. white people kill white people.",politifact,926,2,"__label__2 homicides are intraracial. when you look at white-on-white crime, it's 84%. right? homicides. white people kill white people."
"says kobe bryants eldest daughter, natalia, left a suicide video after being bullied.",politifact,1325,3,"__label__3 says kobe bryants eldest daughter, natalia, left a suicide video after being bullied."
donald trump is announcing tomorrow that the us is going into quarantine for the next 14 days,politifact,678,1,__label__1 donald trump is announcing tomorrow that the us is going into quarantine for the next 14 days
"hillary clinton is on trial, she (supposed) to have killed a 10-year-old girl.",politifact,1114,3,"__label__3 hillary clinton is on trial, she (supposed) to have killed a 10-year-old girl."
the blood test for coronavirus costs $3200,politifact,704,1,__label__1 the blood test for coronavirus costs $3200
a video shows a piece of 5g equipment with cov 19 inscribed on it ,snopes,332,1,__label__1 a video shows a piece of 5g equipment with cov 19 inscribed on it 
a letter was written by f scott fitzgerald in 1920 while the author was quarantined in france during the spanish influenza pandemic,snopes,355,1,__label__1 a letter was written by f scott fitzgerald in 1920 while the author was quarantined in france during the spanish influenza pandemic
hospitals get paid more to list patients as covid 19,politifact,138,0,__label__0 hospitals get paid more to list patients as covid 19
a meme details a staggered shopping schedule implemented by walmart during the covid 19 pandemic ,snopes,381,1,__label__1 a meme details a staggered shopping schedule implemented by walmart during the covid 19 pandemic 
